<BEGIN>
<Thermal plants>
ID;Name;Generation in time t = -1 in MW;State in t = -1. Either 1, if up, or 0, if down;Start-up trajectory (TRUE or FALSE);Shut-down trajectory (TRUE or FALSE);Number of hours (> 0) in the state of t = -1
313;POTIGUAR-unit3;0;0;FALSE;FALSE;4030
314;POTIGUAR-unit4;0;0;FALSE;FALSE;4030
315;POTIGUAR_3-unit1;0;0;FALSE;FALSE;4030
316;POTIGUAR_3-unit2;0;0;FALSE;FALSE;4030
317;POTIGUAR_3-unit3;0;0;FALSE;FALSE;4030
318;POTIGUAR_3-unit4;0;0;FALSE;FALSE;4030
319;POTIGUAR_3-unit5;0;0;FALSE;FALSE;4030
320;POTIGUAR_3-unit6;0;0;FALSE;FALSE;4150
321;PROSPERIDA-unit1;0;0;FALSE;FALSE;2663
322;PROSPERIDA-unit2;0;0;FALSE;FALSE;2663
323;PROSPERIDA-unit3;0;0;FALSE;FALSE;2718
324;SYKUE I;27.0;1;FALSE;FALSE;1028
325;TERMOCABO-unit1;0;0;FALSE;FALSE;4148
326;TERMOCABO-unit2;0;0;FALSE;FALSE;4148
327;TERMOCABO-unit3;0;0;FALSE;FALSE;4148
328;PARNAIB_IV;0;0;FALSE;FALSE;3287
</Thermal plants>
</END>
