<BEGIN>;;;;;;;;;;;;;;;;
<Hydro generating units>;;;;;;;;;;;;;;;;
ID;Name;Hydro plant ID;Hydro plant name;Group ID;Group name;Bus ID;Bus name;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Turbine or Pump?;Conversion rate MW/(m3/s/) for pumps;ID Bus - DESSEM;Comments
153;G8-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
154;G9-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
155;G10-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
156;G11-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
157;G12-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
158;G13-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
159;G14-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
160;G15-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
161;G16-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
162;G17-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
163;G18-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
164;G19-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
165;G20-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
166;G21-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
167;G22-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
168;G23-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
169;G24-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
170;G25-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
171;G26-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
172;G27-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
173;G28-JIRAU;4;JIRAU;1;MD;7051;name;23;75;230;538;Bulbo;Turbine;0;7051;
174;G29-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
175;G30-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
176;G31-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
177;G32-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
178;G33-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
179;G34-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
180;G35-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
181;G36-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
182;G37-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
183;G38-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
184;G39-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
185;G40-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
186;G41-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
187;G42-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
188;G43-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
189;G44-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
190;G45-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
191;G46-JIRAU;4;JIRAU;1;MD;7061;name;23;75;230;538;Bulbo;Turbine;0;7061;The group has been changed after network reduction
