<BEGIN>;;;;;;
<Buses>;;;;;;
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
348;VALADAPCH138;;138;3;SUDESTE/CENTRO-OESTE;1
349;NEVES--MG500;;500;2;SUDESTE/CENTRO-OESTE;1
350;NEVES--MG345;;345;2;SUDESTE/CENTRO-OESTE;1
351;NEVES1-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
352;NEVES2-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
353;NEVES-BIO138;;138;3;SUDESTE/CENTRO-OESTE;1
356;NEV-T1-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
357;NEV-T2-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
360;NPONTE-MG500;;500;2;SUDESTE/CENTRO-OESTE;1
361;J.FOR5-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
362;PASSOS-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
363;JFORA3-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
364;P.CAL1-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
365;P.CAL2-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
366;JFORA4-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
367;PIMENT-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
368;PIMENT-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
369;JF--T5-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
370;SSIMAO-MG500;;500;2;SUDESTE/CENTRO-OESTE;1
371;SGONC1-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
372;TAQUAR-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
373;TAQUAR-MG230;;230;2;SUDESTE/CENTRO-OESTE;1
374;TAQUA1-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
375;TAQUA2-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
376;TAQUAR-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
377;SGONC-PCH138;;138;3;SUDESTE/CENTRO-OESTE;1
378;SGONCA-MG500;;500;2;SUDESTE/CENTRO-OESTE;1
379;SGONC1-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
380;TMARIA-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
381;TMARIA-MG289;;289;2;SUDESTE/CENTRO-OESTE;1
382;TMARIA-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
383;VALAD3-MG000;;1.1;3;SUDESTE/CENTRO-OESTE;1
