<BEGIN>;;;;;;;;;;;;;;;;;;;
<Hydro plants>;;;;;;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
143;RETIRO BAIXO;200.72;241.59;TRES MARIAS;12;TRUE;614;616;3486;São Francisco;Yes;3486;0;0;0;0;0;0;
144;QUEIMADO;95.25;557;SOBRADINHO;360;TRUE;811;829;1959;São Francisco;No;1959;0;0;0;0;0;0;
145;BOA ESPERANÇA;3173;5085;0;0;FALSE;155.13;161.13;10086;Parnaíba;Yes;10086;0;0;0;0;0;0;
146;CANA BRAVA;1906.13;2300;SÃO SALVADOR;3;TRUE;330;333;2000;Tocantins;No;2000;0;0;0;0;0;0;
147;SÃO SALVADOR;892.88;952.01;PEIXE ANGICAL;3;TRUE;287;287;4000;Tocantins;Yes;4000;0;0;0;0;0;0;
148;PEIXE ANGICAL;2223.73;2750.55;LAJEADO;40;TRUE;261;263;5000;Tocantins;Yes;5000;0;0;0;0;0;0;
149;DARDANELOS;0.12;0.12;0;0;TRUE;213.5;213.5;5000;Comemoração;Yes;5000;0;0;0;0;0;0;
150;RONDON II;192.17;478.29;0;0;TRUE;264;268;10000;Aripuanã;No;10000;0;0;0;0;0;0;
151;GUAPORÉ;20.58;22.63;0;0;TRUE;479.2;479.2;10000;Guaporé;Yes;10000;0;0;0;0;0;0;
152;SAMUEL;943.23;3493.44;0;0;FALSE;80;87.4;10000;Jamari;Yes;10000;0;0;0;0;0;0;
153;BALBINA;9711.9;20006.22;0;0;FALSE;46;51;5800;Uatumã;Yes;5800;0;0;0;0;0;0;
